threshold,n_trades,win_rate,avg_pnl,total_pnl,profit_factor,max_drawdown,pct_rejected
0.3,117,0.3162,-20.25,-2369.75,0.523,2428.07,53.9
0.35,77,0.3766,-14.78,-1137.9,0.64,1680.2,69.7
0.4,56,0.375,-13.66,-764.84,0.681,1147.38,78.0
0.45,23,0.3478,-34.94,-803.59,0.409,721.45,90.9
0.5,12,0.3333,-38.49,-461.93,0.397,419.71,95.3
0.55,6,0.3333,-53.29,-319.71,0.283,263.03,97.6
0.6,5,0.4,-50.26,-251.32,0.335,158.39,98.0
0.65,3,0.3333,-64.64,-193.92,0.116,114.64,98.8
0.7,1,1.0,25.36,25.36,inf,0.0,99.6
0.75,1,1.0,25.36,25.36,inf,0.0,99.6
0.8,0,0.0,0.0,0.0,0.0,0.0,100.0
0.85,0,0.0,0.0,0.0,0.0,0.0,100.0
0.9,0,0.0,0.0,0.0,0.0,0.0,100.0
