feature,pb_corr,pb_pval,pear_corr,pear_pval,mi_score,t_stat,t_pval,win_mean,loss_mean,mean_diff,avg_rank
f_risk_points,0.160185,0.000000,-0.055699,0.076112,0.032154,5.195148,0.000000,13.331232,10.412994,2.918239,5.000000
f_price_ret_12bar,0.054932,0.080249,0.094197,0.002665,0.008884,1.657092,0.098004,0.000275,-0.000061,0.000336,7.666667
f_regime_vol_trend,0.046036,0.142745,0.075406,0.016269,0.012407,1.453809,0.146440,0.324416,0.031770,0.292646,8.000000
f_ema_distance_pct,0.051720,0.099594,0.081127,0.009718,0.004667,1.508315,0.132029,0.000227,-0.000093,0.000320,11.000000
f_range_high,-0.066113,0.035203,-0.040287,0.199683,0.011492,-2.140462,0.032634,4482.727591,4567.832067,-85.104476,12.333333
f_price_gap_pct,0.032633,0.298965,0.053795,0.086713,0.032012,1.045917,0.295939,0.000009,0.000007,0.000003,12.333333
f_price_ema,-0.066776,0.033405,-0.040434,0.198050,0.009274,-2.160598,0.031038,4474.821802,4560.857582,-86.035780,12.333333
f_vol_relative,0.055682,0.076199,-0.019004,0.545345,0.013571,1.743587,0.081674,2.986664,2.890465,0.096200,13.000000
f_price_ema_dist,0.042946,0.171572,0.072515,0.020863,0.007918,1.270233,0.204501,0.800747,-0.332126,1.132873,13.000000
f_vola_atr,-0.038275,0.223087,-0.041803,0.183272,0.027441,-1.245105,0.213469,4.803471,4.996201,-0.192729,13.333333
f_ema_distance,0.043147,0.169572,0.072670,0.020590,0.005243,1.275998,0.202457,0.844864,-0.294892,1.139756,13.333333
f_range_size_vs_atr,0.093947,0.002735,0.014117,0.653270,0.011717,2.897651,0.003885,3.027375,2.867079,0.160295,13.666667
f_price_rolling_range,-0.038391,0.221691,-0.041853,0.182747,0.012937,-1.248670,0.212163,4.797619,4.990963,-0.193344,13.666667
f_price_ema_dist_pct,0.051519,0.100917,0.080941,0.009887,0.000000,1.502746,0.133459,0.000217,-0.000101,0.000319,14.500000
f_price_gap,0.027028,0.389692,0.048209,0.124809,0.013124,0.872087,0.383437,0.041317,0.031155,0.010162,15.333333
f_range_dist_above,0.010838,0.730184,0.090163,0.004042,0.009768,0.333064,0.739191,-7.105042,-7.306611,0.201569,15.333333
f_range_low,-0.066151,0.035099,-0.039674,0.206616,0.006531,-2.141649,0.032538,4468.277311,4553.655775,-85.378464,15.333333
f_range_vs_atr,0.093947,0.002735,0.014117,0.653270,0.009020,2.897651,0.003885,3.027375,2.867079,0.160295,15.333333
f_regime_trend_direction,0.054249,0.084086,0.067396,0.031797,0.000000,1.733230,0.083474,0.131653,0.018237,0.113416,15.500000
f_price_bar_range,-0.031898,0.309991,-0.063479,0.043184,0.008476,-1.052462,0.292902,7.620448,7.933131,-0.312683,15.666667
f_price_ema_slope,0.044613,0.155529,0.053669,0.087458,0.000000,1.353401,0.176409,0.032553,-0.006983,0.039536,18.833333
f_regime_trend_strength,0.032991,0.293693,0.069545,0.026719,0.000000,0.972057,0.331423,0.313599,0.292989,0.020609,18.833333
f_range_dist_below,-0.026762,0.394375,-0.057564,0.066774,0.002277,-0.834466,0.404308,-7.345238,-6.869681,-0.475557,19.666667
f_range_size,0.017172,0.584765,-0.040984,0.192008,0.009818,0.546065,0.585189,14.450280,14.176292,0.273988,20.333333
f_vola_tr,-0.031821,0.311153,-0.063464,0.043235,0.000000,-1.049810,0.294119,7.626050,7.938070,-0.312019,20.833333
f_vol_avg,-0.033640,0.284289,-0.039236,0.211679,0.001686,-1.072043,0.284054,6023.323950,6239.563526,-216.239576,21.666667
f_direction_long,0.031335,0.318604,0.046433,0.139330,0.000000,0.998686,0.318277,0.543417,0.510638,0.032779,23.166667
f_vola_atr_norm,-0.020504,0.514077,-0.026760,0.394412,0.007479,-0.661628,0.508410,0.001105,0.001131,-0.000026,23.666667
f_regime_compression,0.043391,0.167173,0.003003,0.923868,0.000000,1.378246,0.168553,1.369178,1.354154,0.015024,25.166667
f_vola_realized,-0.017754,0.572095,-0.015459,0.622773,0.001018,-0.573085,0.566756,0.103447,0.106471,-0.003024,27.000000
f_vol_expansion,0.017577,0.575922,-0.019185,0.541525,0.000000,0.549710,0.582695,1.128813,1.113737,0.015077,28.500000
f_regime_breakout_strength,0.015554,0.620635,-0.033125,0.291734,0.000000,0.491162,0.623463,1.589805,1.572544,0.017261,28.500000
f_time_weekday,-0.022642,0.471175,-0.012021,0.702086,0.000000,-0.715829,0.474330,1.921569,1.987842,-0.066273,29.166667
