sim_id,outcome,trades_taken,final_equity,peak_equity,max_drawdown,max_win_streak,max_loss_streak
0,failed,72,25115.5,26170.5,1055.0,8,6
1,failed,28,24638.25,25842.25,1204.0,3,6
2,passed,68,26754.75,26754.75,971.5,6,7
3,failed,24,24520.0,25533.75,1013.75,5,6
4,passed,17,26526.25,26526.25,545.25,7,3
5,passed,38,26743.0,26743.0,567.25,5,3
6,failed,42,24429.25,25508.5,1079.25,4,6
7,failed,21,24336.5,25347.75,1011.25,3,3
8,failed,20,24122.5,25222.0,1099.5,2,3
9,failed,9,23751.25,25087.0,1335.75,1,5
10,failed,87,25017.5,26210.5,1193.0,6,7
11,failed,12,24719.5,25772.25,1052.75,3,7
12,failed,68,24881.0,25922.75,1041.75,3,5
13,failed,27,23938.25,25000.0,1061.75,2,12
14,passed,27,26791.5,26791.5,390.5,4,7
15,failed,9,24420.25,25475.0,1054.75,2,3
16,failed,9,24085.75,25351.75,1266.0,3,6
17,passed,44,26667.5,26667.5,948.25,8,4
18,failed,31,25107.5,26116.5,1009.0,4,5
19,failed,11,23824.5,25000.0,1175.5,1,6
20,failed,24,23853.25,25000.0,1146.75,3,5
21,failed,35,23867.25,25150.5,1283.25,6,4
22,failed,29,24003.5,25059.5,1056.0,5,5
23,failed,6,24425.25,25451.75,1026.5,2,4
24,passed,37,26786.0,26786.0,759.25,4,7
25,failed,92,24913.5,25928.0,1014.5,5,8
26,passed,39,26856.0,26856.0,751.0,6,5
27,passed,31,26542.25,26542.25,515.25,3,6
28,passed,81,26563.5,26563.5,840.75,5,5
29,failed,33,23930.75,25050.75,1120.0,2,10
30,failed,24,23998.25,25139.5,1141.25,3,4
31,failed,49,25462.25,26492.5,1030.25,5,4
32,failed,62,24994.25,26090.25,1096.0,5,6
33,failed,20,24315.25,25458.0,1142.75,3,3
34,failed,55,24311.75,25389.75,1078.0,4,5
35,passed,103,26689.75,26689.75,944.5,7,6
36,failed,5,24318.25,25329.5,1011.25,2,3
37,failed,44,24338.25,25348.75,1010.5,4,7
38,passed,82,26537.75,26537.75,972.75,4,5
39,failed,37,24274.0,25287.0,1013.0,4,5
40,failed,75,24571.25,25618.5,1047.25,5,7
41,passed,26,26772.25,26772.25,488.75,5,4
42,passed,46,26543.75,26543.75,654.25,5,4
43,failed,76,25174.0,26207.0,1033.0,6,5
44,failed,9,23906.75,25000.0,1093.25,1,5
45,passed,18,27276.25,27276.25,370.0,4,3
46,failed,28,24513.0,25539.5,1026.5,4,4
47,passed,51,26633.75,26633.75,459.0,4,5
48,failed,18,23957.75,25000.0,1042.25,2,4
49,failed,72,24722.5,25790.0,1067.5,9,7
50,passed,18,26517.5,26517.5,141.5,7,1
51,failed,26,24788.0,25944.75,1156.75,5,4
52,failed,13,24735.0,25965.75,1230.75,4,2
53,failed,44,24508.5,25660.5,1152.0,6,6
54,failed,35,24113.25,25166.0,1052.75,3,7
55,passed,30,26582.25,26582.25,780.25,5,4
56,failed,152,25079.5,26119.0,1039.5,8,7
57,passed,117,26601.25,26601.25,911.5,4,8
58,passed,54,26609.0,26609.0,697.0,4,5
59,failed,77,24434.25,25779.5,1345.25,6,6
60,passed,34,26679.5,26679.5,442.75,3,4
61,failed,21,24534.75,25576.75,1042.0,5,6
62,passed,24,26608.25,26608.25,241.5,3,8
