entry_time,exit_time,direction,contracts,position_size,entry_price,exit_price,stop_loss,take_profit,pnl_ticks,pnl_points,pnl_dollars,commission,slippage_cost,net_pnl,exit_reason,strategy_type
2017-01-03T10:05:00-05:00,2017-01-03T10:55:00-05:00,long,1,1.0,2255.0,2248.75,2248.75,2265.5,-25.0,-6.25,-31.25,4.5,2.5,-38.25,Stop Loss,
2017-01-03T10:05:00-05:00,2017-01-03T11:40:00-05:00,long,1,1.0,4909.0,4885.75,4885.75,4953.5,-93.0,-23.25,-46.5,4.5,1.0,-52.0,Stop Loss,
2017-01-04T14:10:00-05:00,2017-01-04T15:50:00-05:00,long,1,1.0,4934.75,4934.25,4912.0,4978.25,-2.0,-0.5,-1.0,4.5,1.0,-6.5,End of Day,
2017-01-04T14:20:00-05:00,2017-01-04T15:50:00-05:00,long,1,1.0,2264.75,2265.0,2256.0,2280.25,1.0,0.25,1.25,4.5,2.5,-5.75,End of Day,
2017-01-05T09:55:00-05:00,2017-01-05T15:50:00-05:00,long,1,1.0,4954.5,4961.5,4929.5,5002.5,28.0,7.0,14.0,4.5,1.0,8.5,End of Day,
2017-01-06T09:55:00-05:00,2017-01-06T12:35:00-05:00,long,1,1.0,4972.75,5011.25,4952.5,5011.25,154.0,38.5,77.0,4.5,1.0,71.5,Take Profit,
2017-01-06T11:25:00-05:00,2017-01-06T15:50:00-05:00,long,1,1.0,2267.25,2274.25,2258.25,2283.25,28.0,7.0,35.0,4.5,2.5,28.0,End of Day,
2017-01-09T10:20:00-05:00,2017-01-09T15:50:00-05:00,long,1,1.0,5018.5,5023.75,5004.75,5044.0,21.0,5.25,10.5,4.5,1.0,5.0,End of Day,
2017-01-10T09:50:00-05:00,2017-01-10T10:55:00-05:00,short,1,1.0,5013.5,5028.0,5028.0,4987.5,-58.0,-14.5,-29.0,4.5,1.0,-34.5,Stop Loss,
2017-01-12T10:00:00-05:00,2017-01-12T14:30:00-05:00,short,1,1.0,2258.0,2265.0,2265.0,2247.0,-28.0,-7.0,-35.0,4.5,2.5,-42.0,Stop Loss,
2017-01-12T10:05:00-05:00,2017-01-12T13:45:00-05:00,short,1,1.0,5012.75,5029.25,5029.25,4982.75,-66.0,-16.5,-33.0,4.5,1.0,-38.5,Stop Loss,
2017-01-13T09:45:00-05:00,2017-01-13T15:50:00-05:00,long,1,1.0,5055.75,5054.5,5040.0,5085.25,-5.0,-1.25,-2.5,4.5,1.0,-8.0,End of Day,
2017-01-18T16:10:00-05:00,2017-01-18T16:30:00-05:00,long,1,1.0,5053.25,5054.0,5037.25,5083.25,3.0,0.75,1.5,4.5,1.0,-4.0,End of Day,
2017-01-18T19:10:00-05:00,2017-01-18T19:15:00-05:00,long,1,1.0,2266.25,2267.25,2258.25,2280.25,4.0,1.0,5.0,4.5,2.5,-2.0,End of Day,
2017-01-19T09:55:00-05:00,2017-01-19T10:15:00-05:00,long,1,1.0,5070.5,5055.5,5055.5,5098.5,-60.0,-15.0,-30.0,4.5,1.0,-35.5,Stop Loss,
2017-01-20T10:25:00-05:00,2017-01-20T15:50:00-05:00,short,1,1.0,5064.5,5054.75,5083.0,5030.5,39.0,9.75,19.5,4.5,1.0,14.0,End of Day,
2017-01-20T12:05:00-05:00,2017-01-20T15:50:00-05:00,short,1,1.0,2264.75,2264.75,2272.75,2251.75,0.0,0.0,0.0,4.5,2.5,-7.0,End of Day,
