sim_id,outcome,trades_taken,final_equity,peak_equity,max_drawdown,max_win_streak,max_loss_streak
0,failed,165,24330.0,25356.0,1026.0,5,10
1,passed,138,26670.25,26670.25,489.5,4,5
2,passed,139,26525.75,26525.75,881.5,10,6
3,failed,111,24044.25,25116.0,1071.75,3,4
4,failed,55,24832.5,25853.5,1021.0,2,4
5,failed,69,25265.75,26378.5,1112.75,4,5
6,failed,119,24648.25,25682.5,1034.25,6,5
7,passed,104,26500.75,26500.75,662.5,11,4
8,failed,108,24449.0,25559.5,1110.5,5,5
9,passed,56,26658.0,26658.0,586.0,4,3
10,failed,29,23957.0,25001.5,1044.5,2,7
11,passed,71,26546.75,26546.75,335.0,8,3
12,failed,43,24246.5,25259.75,1013.25,4,7
13,passed,136,26590.5,26590.5,658.0,6,8
14,passed,222,26602.25,26602.25,888.0,8,6
15,passed,57,26622.25,26622.25,586.75,5,5
16,failed,36,24440.5,25499.0,1058.5,3,6
17,passed,118,26505.25,26505.25,734.5,4,10
18,failed,117,25101.0,26143.5,1042.5,4,6
19,passed,109,26669.5,26669.5,761.0,5,7
20,passed,92,26516.0,26516.0,592.25,5,5
21,passed,222,26633.5,26633.5,932.0,6,9
22,failed,74,24782.0,25833.0,1051.0,4,4
23,passed,55,26612.5,26612.5,735.25,5,4
24,failed,22,24006.0,25042.5,1036.5,3,6
25,passed,111,26503.0,26503.0,394.25,8,5
26,passed,105,26505.0,26505.0,916.5,5,6
27,passed,246,26564.25,26564.25,983.75,10,8
28,passed,75,26611.25,26611.25,365.5,5,3
29,failed,52,23997.25,25029.25,1032.0,4,7
30,passed,162,26513.5,26513.5,845.5,4,6
31,failed,128,24782.75,25954.25,1171.5,4,7
32,passed,71,26521.75,26521.75,567.25,6,7
33,failed,113,24859.0,25958.5,1099.5,4,5
34,passed,136,26576.75,26576.75,818.5,12,6
35,passed,148,26540.25,26540.25,989.0,8,5
36,passed,186,26523.0,26523.0,968.75,6,7
