sim_id,outcome,trades_taken,final_equity,peak_equity,max_drawdown,max_win_streak,max_loss_streak
0,failed,71,24689.5,25713.5,1024.0,3,9
1,failed,27,24271.5,25581.0,1309.5,3,5
2,passed,63,26541.5,26541.5,958.0,10,8
3,passed,22,26505.5,26505.5,250.0,3,3
4,passed,11,26506.0,26506.0,350.0,4,3
5,failed,24,24220.5,25265.0,1044.5,2,4
6,failed,61,25023.5,26031.5,1008.0,5,4
7,failed,57,25097.5,26227.5,1130.0,4,5
8,failed,13,23935.0,25000.0,1065.0,2,2
9,failed,16,24746.5,25964.5,1218.0,5,5
10,failed,16,24076.5,25130.5,1054.0,2,4
11,failed,30,24730.0,25885.0,1155.0,2,4
12,passed,28,26728.0,26728.0,340.0,3,2
13,failed,74,25189.0,26227.5,1038.5,4,8
14,failed,10,24359.5,25595.0,1235.5,3,4
15,failed,10,24612.5,25817.0,1204.5,3,2
16,failed,14,24360.5,25500.5,1140.0,2,6
17,passed,51,26602.5,26602.5,635.5,5,4
18,failed,93,25001.5,26029.5,1028.0,4,5
19,passed,17,26747.5,26747.5,184.5,5,2
20,passed,102,26523.5,26523.5,690.0,6,7
21,failed,24,24353.5,25405.5,1052.0,3,6
22,failed,50,24626.0,25659.0,1033.0,3,8
23,failed,10,24285.5,25310.5,1025.0,2,4
24,failed,25,24432.0,25477.0,1045.0,2,3
25,failed,13,24502.0,25506.0,1004.0,6,4
26,passed,44,26562.5,26562.5,688.0,4,4
27,failed,56,25126.0,26150.0,1024.0,4,5
28,passed,54,26500.5,26500.5,548.5,4,5
29,passed,18,26876.5,26876.5,468.0,4,8
30,failed,25,23936.5,25000.0,1063.5,4,4
31,failed,46,23940.5,25064.5,1124.0,3,7
32,passed,39,26591.5,26591.5,361.5,5,3
33,passed,16,26917.5,26917.5,302.0,4,3
34,failed,37,25251.5,26464.0,1212.5,5,5
35,failed,48,24609.5,25697.0,1087.5,6,4
36,passed,56,26626.0,26626.0,998.0,7,5
37,failed,74,24978.0,26046.0,1068.0,5,6
38,passed,41,26521.0,26521.0,771.0,3,4
39,passed,38,26528.5,26528.5,447.5,3,4
40,failed,49,24401.5,25544.0,1142.5,6,4
41,failed,41,25231.5,26260.5,1029.0,4,5
42,failed,30,24822.5,25899.0,1076.5,3,5
43,failed,68,24859.5,25902.5,1043.0,7,7
44,passed,57,26542.0,26542.0,814.0,3,4
45,passed,21,27372.0,27372.0,649.0,4,5
46,failed,6,23914.5,25000.0,1085.5,0,6
47,failed,60,25221.5,26253.0,1031.5,4,5
48,passed,46,26592.5,26592.5,584.5,4,4
49,failed,48,24879.5,25890.5,1011.0,6,7
50,failed,34,24076.0,25091.0,1015.0,5,5
51,passed,110,26502.0,26502.0,687.5,6,4
52,failed,22,24648.5,26001.5,1353.0,3,3
53,failed,65,25047.0,26229.0,1182.0,3,7
54,failed,29,24033.5,25119.0,1085.5,2,3
55,passed,25,26543.0,26543.0,442.5,3,4
56,passed,105,26556.0,26556.0,618.0,6,5
57,passed,50,26683.0,26683.0,928.5,4,5
58,failed,51,24983.0,25995.0,1012.0,5,5
59,passed,32,26829.5,26829.5,468.5,3,3
60,passed,89,26712.5,26712.5,802.5,4,4
61,failed,22,24758.0,25872.5,1114.5,7,5
62,passed,29,26537.5,26537.5,442.5,2,5
63,failed,30,24631.0,25684.5,1053.5,3,3
64,failed,5,23980.5,25000.0,1019.5,1,3
65,passed,30,26660.5,26660.5,156.5,6,2
66,failed,11,23953.0,25096.5,1143.5,1,3
67,passed,24,26563.0,26563.0,274.0,3,2
68,failed,9,24245.5,25481.5,1236.0,2,3
69,passed,49,26696.5,26696.5,761.0,6,4
70,failed,9,24895.5,25973.5,1078.0,2,5
71,failed,48,23962.5,25123.5,1161.0,3,5
72,failed,21,24555.5,25734.0,1178.5,3,4
73,passed,57,26529.0,26529.0,928.0,7,4
74,passed,15,26670.5,26670.5,568.0,4,4
75,passed,49,26519.5,26519.5,802.5,5,3
76,failed,63,24712.5,25927.5,1215.0,4,5
77,passed,10,26904.5,26904.5,296.0,4,2
78,failed,52,24194.5,25387.0,1192.5,3,6
79,passed,32,26781.0,26781.0,600.5,4,4
80,failed,61,24439.0,25443.0,1004.0,5,7
81,passed,53,26539.0,26539.0,523.0,4,6
82,failed,20,23878.0,25078.5,1200.5,2,10
83,failed,9,23986.5,25000.0,1013.5,1,4
84,failed,74,24955.0,26113.0,1158.0,4,7
85,failed,10,24169.5,25208.5,1039.0,1,5
86,passed,32,26625.5,26625.5,152.0,5,2
87,passed,61,26530.0,26530.0,921.5,6,7
88,passed,38,26780.5,26780.5,679.5,5,4
89,failed,8,24441.5,25573.5,1132.0,2,3
90,passed,13,27453.0,27453.0,400.0,4,3
91,failed,18,24173.5,25254.0,1080.5,1,7
92,passed,22,26545.0,26545.0,556.5,4,2
93,passed,7,26671.0,26671.0,45.5,5,1
94,failed,6,24660.5,25789.0,1128.5,1,3
